dinu_pt_loss,epoch,higgs_mass_loss,huber_loss,loss,neg_r2_loss,nu_mass_loss,step,val_dinu_pt_loss,val_higgs_mass_loss,val_huber_loss,val_loss,val_neg_r2_loss,val_nu_mass_loss,val_w0_mass_mae_loss,val_w1_mass_mae_loss,val_w_mass_mmd0_loss,val_w_mass_mmd1_loss,w0_mass_mae_loss,w1_mass_mae_loss,w_mass_mmd0_loss,w_mass_mmd1_loss
,0,,,,,,728,66.39547729492188,0.0,33.905338287353516,38.69843292236328,-0.6875119805335999,0.006501647178083658,32.25831604003906,36.30037307739258,0.4501909613609314,0.5084261894226074,,,,
66.06053924560547,0,0.0,34.14863967895508,41.136253356933594,-0.686991274356842,0.004675364587455988,728,,,,,,,,,,,38.205055236816406,39.846221923828125,0.6983843445777893,0.6991389393806458
,1,,,,,,1457,66.83870697021484,1.569959044456482,33.40342712402344,37.99736785888672,-0.6920344233512878,0.00880772527307272,28.74559211730957,32.32581329345703,0.36745989322662354,0.39433079957962036,,,,
66.28073120117188,1,1.7672420740127563,33.61723327636719,38.80986404418945,-0.6917060613632202,0.007602940313518047,1457,,,,,,,,,,,30.714019775390625,33.92801284790039,0.4153231978416443,0.4464779198169708
,2,,,,,,2186,67.91041564941406,2.4107048511505127,32.769126892089844,37.13395309448242,-0.6996305584907532,0.011695285327732563,27.365333557128906,28.482650756835938,0.310862272977829,0.32103046774864197,,,,
67.04545593261719,2,2.8133392333984375,33.010215759277344,37.90800857543945,-0.6976444125175476,0.010251711122691631,2186,,,,,,,,,,,28.284791946411133,29.99028968811035,0.34499236941337585,0.3532300293445587
,3,,,,,,2915,69.33612823486328,2.407521963119507,32.50959396362305,36.516273498535156,-0.7042669057846069,0.014044527895748615,26.503700256347656,26.557409286499023,0.271147221326828,0.2894369959831238,,,,
68.41606903076172,3,3.0604381561279297,32.49336624145508,36.99207305908203,-0.7049075961112976,0.012937025167047977,2915,,,,,,,,,,,27.150136947631836,27.268537521362305,0.2934369444847107,0.30026528239250183
,4,,,,,,3644,71.16975402832031,1.8982387781143188,32.402320861816406,36.10356140136719,-0.7094016671180725,0.01666375808417797,26.93332862854004,26.353872299194336,0.2645198404788971,0.28590622544288635,,,,
69.85199737548828,4,2.547496795654297,32.35215759277344,36.432003021240234,-0.7093480825424194,0.01545218750834465,3644,,,,,,,,,,,26.749286651611328,26.321096420288086,0.2747383713722229,0.2864864766597748
,5,,,,,,4373,73.87246704101562,1.1251213550567627,32.456932067871094,35.807552337646484,-0.7148930430412292,0.01890844665467739,28.128700256347656,27.198625564575195,0.27167361974716187,0.2859341502189636,,,,
72.51397705078125,5,1.822803258895874,32.321441650390625,36.03289031982422,-0.7153947949409485,0.017972951754927635,4373,,,,,,,,,,,27.743886947631836,26.821611404418945,0.2734302580356598,0.28658145666122437
,6,,,,,,5102,74.4313735961914,0.7113895416259766,32.5468635559082,35.67338180541992,-0.7164052724838257,0.019891303032636642,29.04568099975586,27.916101455688477,0.2696492075920105,0.2845107913017273,,,,
74.11779022216797,6,0.8923205137252808,32.48785400390625,35.74663162231445,-0.7172470092773438,0.019437335431575775,5102,,,,,,,,,,,28.74933624267578,27.632949829101562,0.27387475967407227,0.2886563241481781
,7,,,,,,5831,73.07355499267578,0.7967351675033569,32.47705841064453,35.60429000854492,-0.7163450717926025,0.020137663930654526,29.435922622680664,28.216934204101562,0.26547080278396606,0.28030407428741455,,,,
73.54505157470703,7,0.8097330927848816,32.47657012939453,35.66110610961914,-0.7178580164909363,0.020095758140087128,5831,,,,,,,,,,,29.374738693237305,28.115394592285156,0.2702843248844147,0.28564825654029846
,8,,,,,,6560,72.31131744384766,0.8268710970878601,32.43205261230469,35.5444450378418,-0.7169543504714966,0.020516565069556236,29.895475387573242,28.55448341369629,0.2630434036254883,0.27674999833106995,,,,
72.41490173339844,8,0.8856380581855774,32.4015998840332,35.583580017089844,-0.7182596921920776,0.020327884703874588,6560,,,,,,,,,,,29.74853515625,28.389299392700195,0.2666887044906616,0.28113749623298645
,9,,,,,,7289,70.55448913574219,0.9462387561798096,32.227455139160156,35.382484436035156,-0.7180659174919128,0.020538466051220894,30.423786163330078,29.07052993774414,0.2624717354774475,0.27390944957733154,,,,
71.2519302368164,9,0.9787347912788391,32.2938346862793,35.496315002441406,-0.7192707061767578,0.020442306995391846,7289,,,,,,,,,,,30.15498924255371,28.73478126525879,0.2649494707584381,0.27767226099967957
,10,,,,,,8018,68.74765014648438,1.257851243019104,32.02083206176758,35.32010269165039,-0.7190735936164856,0.020268812775611877,30.856685638427734,29.569067001342773,0.26267170906066895,0.27140140533447266,,,,
