alpha_mmd_loss,angular_mmd_loss,dmet_loss,epoch,grad_cos/alpha_mmd__rest,grad_cos/alpha_mmd__total,grad_cos/angular_mmd__rest,grad_cos/angular_mmd__total,grad_cos/dmet__rest,grad_cos/dmet__total,grad_cos/higgs_mass__rest,grad_cos/higgs_mass__total,grad_cos/huber__rest,grad_cos/huber__total,grad_cos/mass_mmd__rest,grad_cos/mass_mmd__total,grad_cos/w_mass_huber__rest,grad_cos/w_mass_huber__total,higgs_mass_loss,huber_loss,loss,loss_weight/alpha_mmd,loss_weight/angular_mmd,loss_weight/dmet,loss_weight/higgs_mass,loss_weight/huber,loss_weight/mass_mmd,loss_weight/w_mass_huber,mass_mmd_loss,step,test_alpha_mmd_loss,test_angular_mmd_loss,test_dmet_loss,test_higgs_mass_loss,test_huber_loss,test_loss,test_mass_mmd_loss,test_w_mass_huber_loss,val_alpha_mmd_loss,val_angular_mmd_loss,val_dmet_loss,val_higgs_mass_loss,val_huber_loss,val_loss,val_mass_mmd_loss,val_w_mass_huber_loss,w_mass_huber_loss
,,,0,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,2533,,,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2533,,,,,,,,,0.05378696322441101,0.002944139065220952,0.3677486777305603,0.35383379459381104,0.16521869599819183,41.923954010009766,0.05654541775584221,0.08357390016317368,
0.06753657013177872,0.00352547038346529,0.3692832291126251,0,0.056172680109739304,0.06458307802677155,0.047791738063097,0.09187163412570953,0.06600531190633774,0.07098973542451859,-0.18992668390274048,0.9967852234840393,-0.30763426423072815,-0.23966668546199799,0.37046724557876587,0.3791249990463257,-0.04231799393892288,-0.04098733887076378,0.6949267387390137,0.1643458604812622,60.25006103515625,,,,,,,,0.06107877567410469,2533,,,,,,,,,,,,,,,,,0.08905342221260071
,,,1,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,5067,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5067,,,,,,,,,0.05733068659901619,0.0028414828702807426,0.3569480776786804,0.27420681715011597,0.16273871064186096,37.50771713256836,0.05701162666082382,0.08084677159786224,
0.05527820438146591,0.0029109197203069925,0.3665544092655182,1,0.11852317303419113,0.12714748084545135,-0.25916925072669983,-0.143631711602211,0.06834647059440613,0.07137686759233475,-0.4492918848991394,0.9936806559562683,-0.5757782459259033,-0.530076801776886,0.7212401032447815,0.7267224788665771,-0.09159000217914581,-0.09036017954349518,0.37386032938957214,0.16469237208366394,42.82304382324219,,,,,,,,0.05709485337138176,5067,,,,,,,,,,,,,,,,,0.08269131928682327
,,,2,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,7601,,,,,,,,,,,,,,,,,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,7601,,,,,,,,,0.06003184616565704,0.00279911863617599,0.3544217050075531,0.19332031905651093,0.16189277172088623,33.33150100708008,0.05882071703672409,0.07888932526111603,
0.05571410432457924,0.002815340179949999,0.36024248600006104,2,0.10236986726522446,0.120631642639637,-0.420228511095047,-0.3209383189678192,-0.29497116804122925,-0.29043787717819214,-0.6500227451324463,0.9887197017669678,-0.643864631652832,-0.5604699850082397,0.5904098749160767,0.6011078357696533,-0.3068418800830841,-0.30455076694488525,0.3258710503578186,0.16338247060775757,40.10081100463867,,,,,,,,0.057861194014549255,7601,,,,,,,,,,,,,,,,,0.0811401754617691
,,,3,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,10135,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,10135,,,,,,,,,0.0649673119187355,0.0027609055396169424,0.3524635136127472,0.20883813500404358,0.15865887701511383,33.73564147949219,0.05771584063768387,0.07525790482759476,
0.060628242790699005,0.0027305306866765022,0.3537088632583618,3,-0.010685023851692677,-0.0023218579590320587,-0.6155589818954468,-0.5652203559875488,0.23997186124324799,0.2424895018339157,-0.38410675525665283,0.9960376024246216,0.19546030461788177,0.2572438418865204,-0.24785469472408295,-0.23977801203727722,0.44100478291511536,0.44202864170074463,0.29200828075408936,0.1608232855796814,38.029510498046875,,,,,,,,0.05929819494485855,10135,,,,,,,,,,,,,,,,,0.0779467448592186
,,,4,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,12669,,,,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,12669,,,,,,,,,0.06859085708856583,0.0027210393454879522,0.3496420383453369,0.20847110450267792,0.15502864122390747,33.259376525878906,0.05359741672873497,0.07224978506565094,
